id_ent_fed,ent_fed,anio,subsector,categoria_generador,categoria_residuo,type_residuo,generacion_estimada_ton_anio
1,aguascalientes,2021,petrolifero,pequeno generador,residuos solidos,"lámparas fluorescentes, lámparas de vapor de mercurio",0.91
1,aguascalientes,2021,petrolifero,pequeno generador,lodos,lodos aceitosos,1.6
1,aguascalientes,2022,petrolífero,microgenerador,aceites gastados,lubricantes,0.26
1,aguascalientes,2022,petrolífero,microgenerador,"gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios",0.0
1,aguascalientes,2022,petrolífero,microgenerador,lodos,lodos aceitosos,0.3
1,aguascalientes,2022,petrolífero,microgenerador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.07
1,aguascalientes,2022,petrolífero,microgenerador,aceites gastados,lubricantes,0.02
1,aguascalientes,2022,petrolífero,microgenerador,"gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios",0.1
1,aguascalientes,2022,petrolífero,microgenerador,lodos,lodos aceitosos,0.1
1,aguascalientes,2022,petrolífero,microgenerador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.18
1,aguascalientes,2022,petrolífero,microgenerador,"gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios",0.03
1,aguascalientes,2022,petrolífero,microgenerador,lodos,lodos aceitosos,0.03
1,aguascalientes,2022,petrolífero,microgenerador,residuos sólidos,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.29
2,baja california,2017,petrolero,microgenerador,"gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",0.01
2,baja california,2017,petrolero,microgenerador,lodos aceitosos,otros lodos,1.77
2,baja california,2017,petrolero,microgenerador,residuos solidos,"estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",5.71
2,baja california,2017,petrolero,pequeno generador,aceites gastados,lubricantes,1.35
2,baja california,2017,petrolero,pequeno generador,"baterias, celdas y pilas",no especificado,0.39
2,baja california,2017,petrolero,pequeno generador,escorias,residuos de soldadura,0.2
2,baja california,2017,petrolero,pequeno generador,"gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",49.62
2,baja california,2017,petrolero,pequeno generador,liquidos de proceso,"agua contaminada con hidrocarburos, combustibles, aceite o grasa",0.4
2,baja california,2017,petrolero,pequeno generador,liquidos de proceso,No especificado,0.2
2,baja california,2017,petrolero,pequeno generador,lodos aceitosos,"con contaminacion de hidrocarburos, combustibles, aceite",31.45
2,baja california,2017,petrolero,pequeno generador,residuos solidos,balastras,0.4
2,baja california,2017,petrolero,pequeno generador,residuos solidos,"botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",22.02
2,baja california,2017,petrolero,pequeno generador,residuos solidos,de mantenimiento automotríz,0.05
2,baja california,2017,petrolero,pequeno generador,residuos solidos,"estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",60.15
2,baja california,2017,petrolero,pequeno generador,residuos solidos,lampara fluorescentes,0.46
2,baja california,2017,petrolero,pequeno generador,residuos solidos,"mangueras, pistolas o filtros para despacho de combustibles, descarga de contaminantes",0.18
2,baja california,2017,petrolero,pequeno generador,residuos solidos,"tierra, grava, acerrín impregnados con aceites, grasas e hidrocarburos",0.2
2,baja california,2017,petrolero,pequeno generador,metales,fierro contaminado,0.2
2,baja california,2017,petroleo y petroquimica,microgenerador,aceites gastados,lubricantes,0.0
2,baja california,2017,petroleo y petroquimica,microgenerador,"baterias, celdas y pilas",pilas alcalinas,0.0
2,baja california,2017,petroleo y petroquimica,microgenerador,"baterias, celdas y pilas","pilas, baterias, acumuladores, celdas de desecho: niquel-cadmio, plomo, mercurio",0.01
2,baja california,2017,petroleo y petroquimica,microgenerador,residuos solidos,"botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",0.0
2,baja california,2017,petroleo y petroquimica,microgenerador,residuos solidos,"con contaminacion de gas natural, mercaptano",0.0
2,baja california,2017,petroleo y petroquimica,microgenerador,residuos solidos,"estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.0
2,baja california,2017,petroleo y petroquimica,pequeno generador,aceites gastados,lubricantes,0.35
2,baja california,2017,petroleo y petroquimica,pequeno generador,"baterias, celdas y pilas",pilas alcalinas,0.02
2,baja california,2017,petroleo y petroquimica,pequeno generador,"baterias, celdas y pilas","pilas, baterias, acumuladores, celdas de desecho: niquel-cadmio, plomo, mercurio",0.18
2,baja california,2017,petroleo y petroquimica,pequeno generador,pinturas y productos relacionados,"residuos de pinturas, pinturas caducadas",0.15
2,baja california,2017,petroleo y petroquimica,pequeno generador,residuos solidos,"botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",0.2
2,baja california,2017,petroleo y petroquimica,pequeno generador,residuos solidos,"estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.15
2,baja california,2017,petroleo y petroquimica,pequeno generador,residuos solidos,lampara fluorescentes,0.06
2,baja california,2018,petrolifero,microgenerador,aceites gastados (hidraulicos),aceite gastado hidraulico,0.01
2,baja california,2018,petrolifero,microgenerador,aceites gastados (lubricantes),aceites gastados lubricantes,0.02
2,baja california,2018,petrolifero,microgenerador,lamparas fluorescentes y de vapor de mercurio,lamparas fluorescentes y de vapor de mercurio,0.01
2,baja california,2018,petrolifero,microgenerador,lodos contaminados con hidrocarburos (combustible y aceites),lodos aceitosos de trampa,6.08
2,baja california,2018,petrolifero,microgenerador,solidos contaminados con hidrocarburos diversos,"filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,estopas y trapos impregnados con combustible, envases vacios impregnados de aceite",5.48
2,baja california,2018,petrolifero,microgenerador,"gasolina, diesel y naftas gastados o sucios","gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",0.22
2,baja california,2018,petrolifero,microgenerador,liquidos residuales de proceso no corrosivos,agua contaminada con hidrocarburos,0.13
2,baja california,2018,petrolifero,pequeno generador,aceites gastados (hidraulicos),aceite gastado hidraulico,0.84
2,baja california,2018,petrolifero,pequeno generador,aceites gastados (lubricantes),aceites gastados lubricantes,0.61
2,baja california,2018,petrolifero,pequeno generador,baterias alcalinas,pilas alcalinas,0.04
2,baja california,2018,petrolifero,pequeno generador,filtro de aire o aceite contaminados,filtro de aire o aceite contaminados,0.4
2,baja california,2018,petrolifero,pequeno generador,"gasolina, diesel y naftas gastados o sucios","gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",33.53
2,baja california,2018,petrolifero,pequeno generador,lamparas fluorescentes,lamparas fluorescentes y de vapor de mercurio,0.33
2,baja california,2018,petrolifero,pequeno generador,liquidos residuales de proceso corrosivos,agua contaminada con hidrocarburos,51.9
2,baja california,2018,petrolifero,pequeno generador,lodos contaminados con hidrocarburos,lodos con aceite y restos de hidrocarburos,34.6
2,baja california,2018,petrolifero,pequeno generador,lodos de tanques de almacenamiento de hidrocarburos,lodos de tanques de hidrocarburos,1.0
2,baja california,2018,petrolifero,pequeno generador,pilas o baterias con litio o cadmio,pilas niquel-cadmio,0.18
2,baja california,2018,petrolifero,pequeno generador,solidos contaminados con hidrocarburos,"filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,estopas y trapos impregnados con combustible, envases vacios impregnados de aceite",42.18
2,baja california,2018,petrolifero,pequeno generador,solidos de mantenimiento impregnados con hidrocarburos,"trapos impregnados con aceite, grasas, etc. usados en la limpieza y/o revision de autos",6.47
2,baja california,2018,petrolifero,pequeno generador,solventes gastados,residuos de solventes,0.14
2,baja california,2018,petrolero,microgenerador,aceites gastados,aceites gastados lubricantes,0.0
2,baja california,2018,petrolero,microgenerador,pinturas y productos relacionados,felpas impregnadas de pigmentos de cromo y plomo,0.01
2,baja california,2018,petrolero,microgenerador,pinturas y productos relacionados,residuos de pigmentos base cromo y base plomo,0.01
2,baja california,2018,petrolero,microgenerador,solidos,solidos con metales pesados,0.05
2,baja california,2018,petrolero,microgenerador,solidos,solidos de mantenimiento automotriz,0.01
2,baja california,2018,petrolero,microgenerador,solidos,No especificado,0.02
2,baja california,2019,petrolero,microgenerador,aceites gastados,lubricantes,5.0
2,baja california,2019,petrolero,microgenerador,pinturas y productos relacionados,"estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.002
2,baja california,2019,petrolero,microgenerador,pinturas y productos relacionados,residuos de pigmentos base cromo y base plomo,0.001
2,baja california,2019,petrolero,microgenerador,residuos solidos,con metales pesados,0.01
2,baja california,2019,petrolero,microgenerador,residuos solidos,solidos otros (cartuchos internos de filtros impregnados con hollín y aceite lubricante gastado.),0.001
2,baja california,2019,petrolero,microgenerador,residuos solidos,de mantenimiento automotríz,0.0
2,baja california,2019,petrolero,microgenerador,residuos solidos,otros solidos (baterias alcalinas usadas,0.002
2,baja california,2019,petrolero,microgenerador,residuos solidos,otros solidos (suelo contaminado con aceite lubricante gastado),0.004
2,baja california,2019,petrolifero,microgenerador,aceites gastados,hidraulicos,0.0
2,baja california,2019,petrolifero,microgenerador,aceites gastados,lubricantes,0.006
2,baja california,2019,petrolifero,microgenerador,"gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",0.0
2,baja california,2019,petrolifero,microgenerador,liquidos de proceso,liquidos con residuos de hidrocarburos,0.0
2,baja california,2019,petrolifero,microgenerador,lodos,lodos aceitosos,0.0
